Feature,Importance
LBXGLT,0.22153748730454295
LBXGLU,0.2048803749052851
LBXIN,0.19284640047334875
BMXBMI,0.17418529440281205
RIDAGEYR,0.1380721383460539
PAQ605,0.03626699245326688
RIAGENDR,0.03221131211469044
